emp.var.rate,cons.price.idx,euribor3m,nr.employed,y
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
1.1,93.994,4.857,5191,no
